path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
core/lib/protobuf_config/src/genesis.rs,,M,B,feature,moved?:zkstack_cli/crates/zkstack/src/commands/chain/args/genesis.rs,19,7,protobuf_config
core/lib/protobuf_config/src/house_keeper.rs,,M,B,feature,moved?:core/lib/config/src/configs/house_keeper.rs,0,63,protobuf_config
core/lib/protobuf_config/src/lib.rs,,M,B,feature,moved?:core/lib/basic_types/src/lib.rs,15,10,protobuf_config
core/lib/protobuf_config/src/observability.rs,,M,B,wiring,moved?:core/lib/config/src/configs/observability.rs,1,5,protobuf_config
core/lib/protobuf_config/src/proof_data_handler.rs,,M,B,feature,moved?:core/lib/config/src/configs/proof_data_handler.rs,32,4,protobuf_config
core/lib/protobuf_config/src/proto/config/api.proto,,M,B,wiring,gone,3,0,protobuf_config
core/lib/protobuf_config/src/proto/config/contract_verifier.proto,,M,B,wiring,gone,4,3,protobuf_config
core/lib/protobuf_config/src/proto/config/contracts.proto,,M,B,wiring,gone,3,0,protobuf_config
core/lib/protobuf_config/src/proto/config/da_client.proto,,A,A,unmarked-addition,gone,52,0,protobuf_config
core/lib/protobuf_config/src/proto/config/en.proto,,M,B,wiring,gone,2,1,protobuf_config
core/lib/protobuf_config/src/proto/config/eth_sender.proto,,M,B,wiring,gone,2,1,protobuf_config
core/lib/protobuf_config/src/proto/config/experimental.proto,,M,B,wiring,gone,4,2,protobuf_config
core/lib/protobuf_config/src/proto/config/external_price_api_client.proto,,M,B,wiring,gone,1,0,protobuf_config
core/lib/protobuf_config/src/proto/config/general.proto,,M,B,wiring,gone,4,0,protobuf_config
core/lib/protobuf_config/src/proto/config/genesis.proto,,M,B,wiring,gone,4,1,protobuf_config
core/lib/protobuf_config/src/proto/config/house_keeper.proto,,M,B,feature,gone,13,13,protobuf_config
core/lib/protobuf_config/src/proto/config/prover.proto,,M,B,wiring,gone,4,1,protobuf_config
core/lib/protobuf_config/src/proto/config/prover_job_monitor.proto,,M,B,wiring,gone,1,0,protobuf_config
core/lib/protobuf_config/src/proto/config/secrets.proto,,M,B,feature,gone,25,1,protobuf_config
core/lib/protobuf_config/src/proto/config/timestamp_asserter.proto,,A,A,unmarked-addition,gone,7,0,protobuf_config
core/lib/protobuf_config/src/proto/config/via_secrets.proto,,A,A,via-named-embedded,,27,0,protobuf_config
